# source: https://steamcommunity.com/sharedfiles/filedetails/?id=2786724419
# imported direction traces; never package this file in the agent image
a1	UURRR DDUUU LLLL
h14	LUUUR DDLDR DRRRU ULDRD LUUUU UUULL LLLDL LURRD DRURR ULDLL LUURD LDRDR UUDLU RDRRU ULDRD LDDUU UUULU RDRUU UUURU LRRRU UUUU
h15	URRRD LLULD DRDDL RUULD RRRUL L
h16	RRRRU ULLLL LDDDD DLDDL DRRRU RDDLD RRLUL LLLLD RURRR
h17	RRRRD DDLLU LUUUU UURUL LLDLU UUURU LLRDR RRURR RUUDL LDDL
h18	UUURR DRDLU ULLDR DDURR DDLUU ULLUU URRDD DLLLL UUU
h19	URRRD DDDLU RULLD LUURU LURRD RDDLD LUUUR ULLDD DLDDL UUURR RURRD LULDD DRDRU UURUL LLDDD LLDDD RRUUU LLLLD DDDDD DLLLL LLLLL L
h20	RRUUL DRDLU ULDRR DDDLU URULU LLLDD DDRUU ULURL URRDD DDDDR RUUUR RDDDR RUUU
h21	UULLU UURUU LDDDL DRRRR DRULU RRRRR DDRRU ULLDD LDLLL UUUUU UUURR RDDDR LDLUU DDD
h22	URULU LDRDL UULDD DDDDR DLULD RRRLU LDDDL UULL
h23	RDDDL ULLDU LLDRU RDURR DLULD DUURR RRRDD DDDDD LLLLL UURRR RDRUU UUURR UUURR RRULL LDLLU RRRRD LLLLL LUURD RRRDL LLUUR DDDDD LLDRR RURDD LDRRR DRRUU DDDLD RLUUU LLLUU LLLLL UUU
h24	RURRU LLULL DDRRU LULDD DLDRU RRRRU RDDLL LUULL DRRRR URDDD LDRLL LLDLL UURUR R
h25	DRRDR DLLUU RRULL ULDDD DRDLL LLLLL LRRRR RRRRD LLLLL LDLUR ULLLL
h26	RRDRU UUULU RDRRD LDLUU LLLLD RDRUU LURRD RDLDL UURRR RDDDL LLLDL UUUUR RURUR RDLLU LLLDD
h27	LLLDL URRRD DDRRR RRUUU URRRD DDRRR ULLDD DLLLU UURUR DDDLD RRRRR R
h28	UULUL LLDDR DDRDD LUURU LULLL DDRDR RRDRR ULLDL ULULU URRRD RRRDD DDLUU LLDRR UDUUL
h29	URUUR DDDDR DLLLU UUUUL DDDDD DRDDD LLLRR UUURR LRUUL DRDLR R
i1	DDDLU UUULU RDDDR RDDDD D
i2	LULDD RDLLR RURDR DLLLL RRRDD DD
i3	RDRRU LLLDL DDRUU DDRRU URULL LLLDL LLLUD RRULU ULDRR RRRDD DDRRR DD
i4	DLLLD RRDRU UUULL LDRRD RRRDL DLUUU URULL LULDR DLRRR DDDDD DD
i5	UURRR URDDD DDRLL ULDDD RDLDD DDDLD DRLUU RUULL DDUUU UUUUR RRRDR RR
i6	UUUUU UDDDD DRDDD UUUUL LLLRD RURUU LLULD UUR
i7	DRRRR RRRLL LLLRU LLLDR LLRRR RUULL L
i8	RRRRL LLLLR RRRRR RLLLL LLUUU ULDDR RULUU RDLDD DDDDL URRRR RRLLL UU
i9	RDDLL LULUU RDDRD LLUUU DRDLD LULUL UURRR RDLLL DLUUU DLRDR URULL LLLUU RRRRR UULDR DDDLL URRRU ULLDR DDLLU RR
i10	DLLUR URDDD RDLUU LDRDL LLDLU UUUUD DDDDL URRRU RDDUU RDLLL DLUUL UURDD DDLD
i11	LDDRR ULURR UR
i12	UUUDD DDDDD DDRDL LDDDL DDDDD LDRUR DDLDR DDDRD DDDDL DRURD RU
j1	LLLDD DUURR RRDRR RRLUU LLLLD LULLU UUUUR
j2	RDRLL ULULL ULLDD DLLLL LLRUU URRDD DDUUU RRRDD RRRRD RUD
j3	LDDRR DRRUD LULUR RRRLU LLDDD UUURD DDDDL LLL
j4	LUUUR DLDRR RDRUR ULLRD RURUL DLLLL LLL
j5	RUULD LUUUU UUUUD LLULU RRRUR DDRDL LDLDL UULUR DDRUU UUUUU ULUUR LDDRU LURDR ULURR RDRUU UUUUR RRR
j6	LDDDL DLUUU UUUUL LURDR UURUL LLRRD RULUR RURDD DDRRR DD
j7	LDDLU UUUUU UUUUU DDDDU UUUUD UUUUU UUDDD DDUUU UUUUU UUUUD DDDDD DDDDD DLDDD DDDDL DDDDD DDDLD DDD
j8	DDDRR UUDDL DLLUL UUDDR DLDLL LLLLL RRRRR URRDL LLLLL RRRRR DDLLL LLLLD LLLLL LDLLL
j9	DDDLL LURUU ULRDR UURUL LRRRU RDDUU ULLLL
j10	LUURU LLLRR RRRDR UUDDL LLLDL URULL RRRUU URRRD DDRDL LLDLU UUURU LLLRR RRRUR DLDRU RDDUU LLLLL LLL
j11	RRDLL UUURD DRDLL LRRRR DDLUU LURRR DUURD DRDLL LLRRR URDDD RDLUU ULLLL LL
j12	ULLDD DUUUR RRRDL DRRRL LLLLL DDLUL DRDLL
j13	RDDDR DLLUL DLDRL UUURR RRRDD DLL
j14	LDLUR UULUL DDDDU RDRUU DLULU RRRLL URDLD DRRUL LDLUU UUDDD DDDLU RRRRD RRULU LLDDD DDDDU UUUUU URRDD LRUUL LDDDD DDDUU UUURL UURRD DLLUR URDLD RURDD LLLDL
j15	LUUUL DURRR DLLLL LLLDR UDLLU UUUUD DURUR RRRRU LDDDD LDRDR UUUUU DLLDR RRRRR RR
j16	RDDLL DLUUU UUUDD DDRRD DDRRR LLURD DDDDD RDLLU LLDRR RRRUR DDLLL UUUUU UDDDD RRDDD RRRLL URDDD DDDDD DDDRD LLULL DRRRR RR
j17	DRRRR ULLUU URLDL UULUL RRRLL LDLUU RRURD DRR
k1	RRRUU URRRR RRDDL LLLUU DDRRR RUURR RDDRR RRUUU
k2	RDDDR RRLRR RRLL
k3	DDLRU UUUUU UUUDD DDDLL UULUU URRRU ULLLU LLLLL LLLLL LLLL
k4	RRRUU DLLLL LLLLL LLRRR RRUUD DLLLL LLLLR RRRRR UULL
k5	LLLDL UUUUU LURUU LUURL DDRDD DRRUL DLUUL URRRR RLLLL UDRRR RURR
k6	RRRRR RRRRD DRRRR RRRRR DDRRR RRRRR RDDRR RRRRR RRDDR RRRRR RRRDL UU
k7	LUUUR ULLDL UURUL LDLUU UUUUR ULLLL DDRRR RDDDD DDDDD RRRRR RRRUU U
k8	URUUU RUULD LULLD RRURD DDRDD LRRDD DRRUU LDRDL RRDDD UULLLL
k9	RRLUR LURUR DDDDL LLLUU URRRU RDDLD DRDDR
k10	RDDDL UDLLL URRDR UUUDL LLURR DRUUU RUULL LLL
k11	RRRRR RRRRL LLUUU UURRR RLLUU UDDDR RRRLL UUUU
k12	DDRRR DDLUR DDLUR DDLUR R
k13	DDDDD DDURR RRUUU UUUUU UUDDL LLDDD DDDRR RUUUU UUUUU DDDLL LLU
k14	LDDRR RURRR DDDLL LUUUR ULLUL DDDUR RDLLL LULLD RRRRU RRDDD DDURD DDDDD
k15	DDLLR LLLLL LDDUU LLRLL LLLLD DDUUU LLLRR LLLLL LDDDD UUUUU UU
k16	LUURU RDDDL LDLLU RRRLL LUURR URDDD RRRRD DULDD RRR
k17	DRRDD LUUUU UUURD DDDLL LULUR RLDDR URUUD LDLUU RULLL LLDRR RRULL LR
k18	URRRR DLLLL DLURR RRRDR ULLLL DLURR RRDLL URRRU ULUDD L
m1	LLLDD DRRDR URRDD
m2	DDRDL UULLL DDUUR RDDUU UL
m3	RUUUU LLLLL DRDRD DLDDL LUU
m4	RUULL LRDDL RRRDD LLLUU RRRR
m5	LLDDD RRRRL LULLD RRRRL LULLD RRRRL LULLD RRRRL LLLL
m6	UURRU DLLLL UDRRU LDDDR UUUU
m7	LDDUU UUDRR RUDDD DLUUU RDDDL UUURD DDUUR RDUUU RR
m8	DRRLD RLDRU ULLLL DRRRU LDLUR ULRDD DD
m9	DLLRU ULLLL DLUUU RRRRR RLLLU L
m10	URRLD DDRUL LLLUL LDRRR ULDDD URRRU LLLLL LDRRR RRDR
m11	UULLD RRRRD DDLLL LUURL UURRR RDDLD LULUR RLLLD D
m12	DDDRR LLULD RUULL URRRD LLLRR RRRUR RDULL DLLUR DLUUR DLLUR DDLLL URRRD LLLUR RRDLL LURRR DLLLU RRRDL LLL
m13	RRUUU UDDLL LLLLL LUUUU UURRR RRDDD DDDDR RLLL
m14	UURUL LULLL LDDDD DDRRR RDLLL LLRDD LLUUU UDRRR RRRUU DDD
m15	DDDDU RRRDD LDRRU ULLLL DLD
m16	RRRRU UULLL RDRRR RRUUU LLLUR DDDDL UUURR RRDRR UUUUL LLRRR R
m17	DRRRR LLLRR RRLDL UULUR DDDDL LLLDL LURDR UULUR DDDLL LDLLU LDDDD UUURR RDLUU UULUL LDDLL RRRRR DRR
m18	LUULD DDDRU LURRD DRUUU UDDRR RDLLU RRDDL LL
m19	DDRDL LULDR RRURD RDLLL LDLUU ULURR RR
m20	LLLDD RRUUU RRRUU UUURU LDLUU ULURU RRRRU LLDLD DLDRR URDDL LLULD RDDR
m21	UULLL DDRUL DDRUL DDRUL DRR
m22	URRUU LLDRR UURUU RDDLD RUUUR
m23	LLLLU UURRR RUULL LUURU U
m24	RRRUR RDDRD LLLUL RLDRU UUULL UURRD RLLU
n1	DDLLL RRURR DLDLU UUUDR DDLUU UULL
n2	RRUUD DDDLU RLULD DDDUU RUULD DDDDR R
n3	DDDLD DUDRR UULLD DRLUU RRDDU UUULU RRRRL LDDDU ULURR RRLR
n4	LLLLR RURDU UUDLD DRUUL LURRU UUU
n5	LLLDR RULLL LULDR RRRDL UURDL RRRRU LLDRR RDRRU LLLLU LDDRR UULDR ULDDL LD
n6	DLLUL DDRDR UUULL URRDR UUUUU RRURR DDDL
n7	DDRDL LUUUU LDDDD RULLL
n8	DRRUU URULD LULLD DDLLL DRRRR LLLUU UURRR DLULU UU
n9	LURRR RRDLL LDRRR DLLLL UUULU RDRUR ULDRU RULU
n10	DRRUU LLLUR RRRUU LDLDR RRRLL DDDRD R
n11	RRUUL LDLUD LURUL LLDRU LLDLU U
n12	RUUUR RURDD DDRDL RDDDR DLDLU LLLDR RUUUU ULLLR RRRRR RRLLD DDDDD LUURD DLUUL UUR
n13	URRLL DDDDR UUUUR RLLLD DDURR DDRUL LDLLR RULLR ULDRU LDDRU UURUR RRLLL DLURR RRRD
n14	DDDRR RULLU LDDRD LLUUR RRRRR URRDL LDDDL DDLLU RDDRD DLUUU UURRR DLLUL DRDLL UUURR RDRRR URRDL DDDLL LDDRU ULDDD RDDLU UUULD RRRRL UURDU ULLLD DLDRR RRRRD RRRRD DD
n15	LDDRR RDRUL URDDR UULUR RUULD DRULU RRRUU URR
n16	UULLL LLDLL DDDLL LUUUL UDDRR RDRUU UUUUL LRULL DDDDD DRRRD ULLLL UUUUU UULLL LDDDL LUUU
n17	DLLDR URRRD DLLLD RRRUR RRDLL LDRRR URRRD LLLDR URRRD DDLLL DRRRR URUUL LLDDD LDDDR DDDDL LLLLL DDLLL LUUUU U
n18	LUUUD DRLDD DRLDD DRLDD DURLD DDRLD DDUUR LLULD ULDU
n19	UURLL RRRDL LLRRR DLLLR RRDLD LUDLU RRULL DDLUU UU
n20	DRURD LDRRL UURRD URRDL ULDRD LLULD DULLD DRUUD DDRUU UULRR RULLL DDLUR DDDD
n21	RUUUR RDDRU URDRD RUUUR RDDDD DDDDD DRRDD DDDDD DD
n22	RUUUL DDLDR RRRLL LUULL LRRUU LRDDD DRUUL UULUU LRDDR DDLLR RRRUU URRRU R
o1	DDRRR LLLDR ULDRU RRRUU
o2	ULLLL UURRR UULLD RRULL LDDDD RR
o3	LLLLU URRUL DRRUU LLLLD RRLDD DRR
o4	DDDDR RRRLU LDLLU URURD D
o5	LDDDD DRUUL LDRRU RDDLL LUURR RDLUU RDDDL LLURR RRRUU UULUL DDD
o6	LDRRU LDRUR DLLLD RRDRU RRRLL LULDD
o7	UUURR DDLLL LLURR RURDD LDLLL LRRRR DRULU URRDL LULDD
o8	URRDL LLDDR DRRUU LLDRD RUULU RDRUU URULL ULLDR UUUUU LLDRU LDRUR DDLUL LRDDL L
o9	DDLLL LURRD LURRD LUUUR DDDDD UULUR URRRR RDLLU RDLLU RDDDL UUUUU DRDLU ULDDD DDDDR RR
o10	DLLLU LURRR ULLUL DDLDD DRRRR RRDRU UURLL DLURU URRRR RRRDD
o11	UUULL DLDRU RDRDD DLLLL LRUUD RDLLU UURRR RDDLD DRULU RLLLL DLLLL ULDD
o12	DRRUL DDRUU UURRR ULLLD DDDDL URULD LURUL DLURU LDLUR UUURR RDDDD RRRDD
o13	DLLLU UDRRR RRRRL DLDDR UULLU RRRRU LDDDD UUUUR RDDDD RDLLL
o14	DLURD RUULU RRRDL URDLD DDRUU UURUL LRRUR DDDDU UUULU LLLD
o15	UURRR RDLUR DLDDD LLLUR DUURR ULLLU RDLDR DRUUU
p1	RRRLL DDDUU DLLLL LLRRR RUULL LLU
p2	DDDDD URRRU UUUUU LDDDD DDDDU URRUU UULDD LDDDD DRUUU UUUUL LLD
p3	DDLLD RRRUU RDDDR
p4	UUULL URDDD DRRRU ULUUL DLURR DDRUU UR
p5	LLDDR RRRRR ULDRD DLLUR RUR
p6	RUUUL ULURR RRRLL LLDDD DDDDD RUULL LLULD DDDDD DDDLU RURDD RD
p7	RUUUU UDDDL DRRRR RDRUU UUULU UDDDL DRRUU RRRRR UUUUR R
p8	LUURR URDDL DRUUU LLLLL LDURR URRRR RLLLL DLLLD DDUUU RRRRR RDDDR LLLLD
p9	ULLDL DRRRD RRLLR UURRR RDDDL DLUUU RULLL DLULU UDRRU URRRD DDDLD RURRR D
p10	DDRRD DDRRR RLLLD LUUUL UUDLL UULLL URDDD LDRRR URRLL LDDRR RRDD
p11	RUULL ULDRD LLLRU UDDDD DRDRU UUUUU ULDLU URDLL LLLLL RRUUU UUURR RDDDD
p12	DLLUU DDRRD DRRLR RURDD DDDLD RRRUR RDLUL LRRRD RUDRU RRDLL LURDL DRDRU UU
p13	DRRUR ULLUR RDRUU DLURR RRDRU UURUL LULDR RRULL LRDDD RDRDR DRD
p14	RDDLL LULDU LLURR RURDL DRUUR DDDDD DRDLU LDRRD LULDD LD
p15	LUUUL URRDD DDDDL ULURR DDRUU LURRR LLUUU ULUUR DRUUU UULLD DDDDD RRRRL LLUUU UUUUU UUUUR RRR
p16	DRDDR RRULL ULLDD RRUUU LDDLD ULLDD RRRRU UUURD DDDDL DRRRL LLDRR RRLUU RDRDL LDRDR UUULU RR
p17	LDDDR ULURR RRDLL DLUUU URRDD LDRRL LLLUU UUUDL UUU
p18	DDRRD DDDRD DDRDL ULDDR DLLLU UDDDD DDDLD RRURD LLLDD LDRUR DDDDD LDRRR RLLUL DDDDL DRRRU ULDDL DRURD DDDDD LDDRD DUU
q1	LLLUU RRDDL LDRRU RDUDD DDDD
q2	DDDLL LRUUU LDDDD D
q3	RRRUU RULLL DRDRU ULURR DDRRL LUUUR R
q4	UURDR DLLUU LDDDU RRRDL LULDD DD
q5	UULDL DRRUU RDDDU LLLDR RURDD DD
q6	LLDRU RDURR DLULD DDDDR RRULL DLDDL DRRUR DDDUL LLDRU RDRRD LLDLU UUULU RRURD LDRRD D
q7	LDDRD LULDR ULLDD RRRLU LDRRR UUUUL DDDRD LLDLL LLLUR DRRU
q8	DDDLD DDUUL LDDLU UUDLL DDDLR LLLDL UU
q9	LDDDR RUULL LLUUU DUULL LLUUU ULULL DDRRD RRULL RLLUU L
